Description; Website; Phone
AG PRODUCTION LLC;N/A;+375 29 640 73 86
AGENCY BITACTIVE;https://www.bitactive.pro;+375-17 231 53 92
AGNT-LAB;agentelab.co;+375 17 335 25 45
AISCOM LLC;www.aisnovations.com;+375 29 379 90 08
AKTIVNIE TEHNOLOGII;https://www.active.by;+375 17 308-22-00 
AKVEO;www.akveo.com;+375291873456
ALICE GAMES;game-insight.com;+375-29-624-19-67
ALIGNED CODE;alignedcode.com;+375296838255
ALPARIGROUP;bpmobile.by;+375296234140
ALTOROS DEVELOPMENT;www.altoros.com;+375 17 388 01 32
AMARYLLIS SOLUTIONS;www.amaryllis.by;+375 29 609-4109
AMDEV LLC;amdev.by;+375-29 6514691
ANDERSENBEL PRIVATE COMPANY;www.andersenlab.com;+375-17 3884022
APALON APPS;www.apalon.com;+375 29 194 59 18
APPLIED SYSTEMS LTD;www.appsys.net;+375 17 227-10-30
APPODEAL;www.appodeal.com;+375 17 342 04 41
APPPRODUCTIONLTD;appyfurious.com;+375447187989
AR SQUAD;arsquad.art;+375293360091
ARISTEK SYSTEMS LTD;www.aristeksystems.com;+375 (29) 744 23 52
ARMADA SOFT LLC;www.armadalabs.com;+375-17-277-13-89   +375-29-744-77-33
ARTEZIO;artezio.by;tel/fax: +375 17 336 05 26
ARTOCON;www.artocons.com;+375-29 3349181
ARTOX LAB;www.artox-lab.com;+375 (17) 215-00-20 
ATERISE;aterise.com;+375 44 794 7777
ATLANTCONSULTSOFT;N/A;+375-17-3963538
ATMSYSTEM;www.atmsys.by;+375 (17) 268-84-06, +375 (29) 613-73-53 
ATOMICHRONICA;https://atomichronica.com;+375296227024 
ATOMICUS LLC;www.atomicus.by;+375 29 309 87 16
ATON ENGINEERING;www.aton.by;+375-29 6264264
AVEST;www.avest.by;+375 17 207-92-34
B-LOGIC;b-logic.by;+ 375 17 2793400, + 375 29 6301036
BAMBU GRUP;bamboogroup.eu;+375-17 2390600
BANUBA DEVELOPMENT;banuba.com;+375(29)3206000
BAS INNOVATION;www.basi.by;+375 17 229 99 83; fax +375 17 229 98 15
BEKOMP;N/A;N/A
BELABAT;www.belabat.com;+375 17 337-37-00
BELBIGROUP;www.belbigroup.by;+375 29 3 101 108
BELCRYPTOSTOCK;cyberone.io;+375296526446
BELHARD DEVELOPMENT;www.belhard.com;+375 17 226-84-26
BELITSOFT INTERNATIONAL;www.belitsoft.com;+375 29 258-70 -00     +375-17 297-91-69
BELKA GAMES;www.belka-games.com;+375 29 653 26 43
BELL INTEGRATOR;www.bellintegrator.com;+ 375 29 650 27 27
BELPRIME;www.belprime.com;+375173342409
BESK COMPLEX SOLUTIONS LLC;besk.com/by;+375298941204
BESMART;www.besmart.by;+375 17 3345204
BG SOFT;bgsoft.biz;+375 17 306-38-04
BIG DATA TECHNOLOGIES;www.bdtech.by;+375 29 275 55 36
BIGGIKO;biggiko.com; +375 (25) 605-00-38
BISC;https://bisc.by;+375 17 259 14 11
BITNET GROUP;www.bitnet.by;+375 29 380 00 20
BIVIAR PARTNERS;www.biviar.com;+375-44 7332861
BIZNESPROGRAMMY;bpr.by; +375 17 388-77-78 
BLD SOFT;www.bldsoft.com;+375 44-7042837
BLITZTEAM;blitzteam.by;+375(29)245-34-29
BRIMIT;www.brimit.com;+375 29 603 58 83
BYELEX;www.byelex.com;+375 17 342 28 04
BYTE PROTECT;www.byte-protect.com;+375 17 269-92-04
BYTECHSOLUTION LLC;bytechs.by;+375 17 207 83 82
CACTUSSOFT;cactussoft.biz;+375 17 3343507 
CANOE;canoeband.com;   00000
CAPSILON SOFTWARE BEL;capsilon.com;+375 29 601 05 95
CEDON BLR;www.mobiletag.com;+375 17 328-64-56
CENTER OF INFORMATION TECHNOLOGIES BIKONSULT;abiatec.by;+375 17 285 70 54
CENTRE OF BANKING TECHNOLOGIES;cbt.by;+375 (17) 203-29-16
CIKLUM;www.ciklum.com;+375 17 393-30-98
CINEMALAB;cinemalab.io;+375 (44) 590-95-50
CLEVER LABS;https://cleverlabs.io;+375-29 7554439
CLEVETURA;clevetura.com;+375 29 6053087
CLOUDCALL BY;cloudcall.com;+375 44 513 84 64 
COGNITEQ;cogniteq.com;+375172569967
COMPATIBL;www.compatibl.com;+375-17 2419762
COMPLITECH;www.complitech.by;+375-17-3360350
CORTLEX BEL LLC;www.cortlex.com;+375295063675
CRAFT MACHINE;https://craft.co;+375447771013
CREATEX;N/A;+375295075501
CRYPTOTRADE;www.iex.net;+375-29 6672288
CTCO LLC;www.ctco.by;+375 17 3940178
CTDEV;www.ctdev.by;+ 375 17 394 01 75
CURRENCY COM BEL;currency.com;N/A
CYBER GENESIS;cyber-genesis.by;+375 29 360 14 57
DANA NETWORKS;www.dananetworks.net;+375 29 321-98-76
DATA DELIVERY LLC;Rocketdata.io;+ 375 17 204 24 10
DECSYS;decsys.org;+375172404199
DESIGNING BUREAU OF SYSTEM PROGRAMMING;www.kbsp.by;+375 23 221 57 02 
DEVXED LLC;devxed.com;+375 29-699-79-66
DFS;finstore.by;+375295050205
DIGITAL PLATFORMS;dpi4.com;+375 17 3653528 
DOCTOR FOCUSED;drfocused.com;+375 29 146 45 46
DUAL LAB BEL;www.duallab.com;+375 17 264 39 34 
E-VISION;N/A;+375 17 3870538
EASYBRAIN;easybrain.com;+ 375 17 275 21 02
ECONOMICA-SOFT;www.e-s.by;+375 17 3881919; +375 44 5430821; +375 29 7404932
EFECTURA;www.efectura.com;+375 33 664 09 45
EFFECTIVESOFT;www.effectivesoft.com;+375 17 342 01 37
EGOSECURE;N/A;+375 17 237-40-72,  +375 17 237-40-82
EIDOLON;www.eidoloncorp.com;+375-29 8488735
EIS GROUP;www.exigenservices.by;+375 17 240 47 55
ELECTRONIC SYSTEMS AND SERVICES;esas.by;+375 (29) 670-41-69
EMBEDDED SOLUTIONS BLR;em-so.com;+375 44 475 24 13
ENCATA;encata.ru;+375444725031
EPAM SYSTEMS;www.epam.com;+375 17 389-01-00
EPICMAX;epicmax.co;+375 29 344 11 13
EPOL SOFT;www.epolsoft.com;+375-162 22 00 19
ERGALIO LLC;www.ergalio.net;+375296770270
ERPBEL;www.erpbel.by;+375 17 285 82 12
EURASIAN PROCESSING COMPANY;https://epc-it.com;+375 162 527 767
EURUS TECH;ethoslending.com;+375291238542
EVOKE SYSTEMS;evokesystems.by/en;+375 25 908 03 52
EXADEL;www.exadel.com;+375 17 362-84-30
EXON IT;www.exonit.by; +375 17 265 75 91
EXP CAPITAL;expcapital.com;+375 17 392 28 22; fax +375 17 392 28 23
EXPERT SOFTWARE DEVELOPMENT;expert-soft.com;+375 29 630 00 60
EXPOSIT DIGITAL SERVICES;www.exposit.com;+375 15 2607687
EXTO EKOMMERS;https://exto.io;+375445558202
FABROS;www.fabros.by;+375 29 817 15 09 
FAR EAST TECHNOLOGIES;N/A;+8618601791512
FINGERS MEDIA;fingers-media.com;+442081445856
FINSTEK BEL;finstek.com;+375 17 370 53 15
FLESPI;https://flespi.com;+375 17 336-55-35
FORANX;www.foranx.by;+375 17 202-76-78
FORDECONSULTING;https://fortegrp.com;+375 17 336 42 55 
FP TRADE;www.fptrade.by;+ 375 17 346-20-96 
FRONTBYTE;frontbyte.by;+375 29 139-33-36
FUSIONTECH;fusiontech.by;+375293897059
GALANTISSOFT;www.galantis.com;+375 17 290-28-58
GAMBINO LLC;gambi.no;+375 17 227 14 11
GAME STREAM;www.game-stream.by;+375 17 330 52 02
GBSOFT;gbsoft.by;+375 17 200 99 66
GEEK-SOLUTIONS;geeksolutions.co;+375 25 601-05-35
GERSIS SOFTWARE;www.gersis-software.com;+275 25 799 28 72
GISMART;gismart.com;(029)333-73-54 
GLOBANT BEL;https://www.globant.com;+ 375 33 346 24 62 
GLOWBYTE DEV;gbconsulting.ru;+37517-306-24-55
GODEL TECHNOLOGIES EUROPE;www.godeltech.com;+375 17 328-17-34
GP SOLUTIONS;www.gpsolutions.com;+375 17 301 03 97
HEALTHY NETWORKS;https://www.lungpass.com; +375295048826 +37529333130806
HELMES BEL;helmes.com;+37529-7078072
HIEND SYSTEMS LLC;hiendsys.com;+375-17 3023521
HIQO SOLUTIONS;www.hiqo-solutions.com;+375 17 3963934; +375 17 3963928
